"gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score","math.grade","reading.grade","writing.grade"
"female","group B","some high school","free/reduced","completed",63,78,79,"D","C","C"
"male","group D","associate's degree","standard","completed",67,54,63,"D","F","D"
"female","group D","some high school","standard","completed",65,78,82,"D","C","B"
"male","group D","master's degree","standard","none",85,84,89,"B","B","B"
"female","group C","master's degree","standard","none",73,78,74,"C","C","C"
"female","group A","high school","free/reduced","completed",34,48,41,"F","F","F"
"female","group D","bachelor's degree","free/reduced","completed",93,100,100,"A","A","A"
"female","group D","some high school","free/reduced","none",67,84,84,"D","B","B"
"male","group D","some college","standard","none",88,77,77,"B","C","C"
"male","group B","high school","standard","none",57,48,51,"F","F","F"
"female","group D","some college","standard","completed",79,84,91,"C","B","A"
"female","group C","bachelor's degree","free/reduced","none",67,75,72,"D","C","C"
"male","group E","bachelor's degree","standard","completed",70,64,70,"C","D","C"
"male","group D","bachelor's degree","free/reduced","none",50,42,48,"F","F","F"
"female","group A","some college","standard","none",69,84,82,"D","B","B"
"female","group C","bachelor's degree","standard","completed",52,61,66,"F","D","D"
"female","group C","bachelor's degree","free/reduced","completed",47,62,66,"F","D","D"
"female","group B","associate's degree","free/reduced","none",46,61,55,"F","D","F"
"female","group E","some college","standard","none",68,70,66,"D","C","D"
"male","group E","bachelor's degree","standard","completed",100,100,100,"A","A","A"
"female","group C","high school","standard","none",44,61,52,"F","D","F"
"female","group C","associate's degree","standard","completed",57,77,80,"F","C","B"
"male","group B","some college","standard","completed",91,96,91,"A","A","A"
"male","group D","high school","free/reduced","none",69,70,67,"D","C","D"
"female","group C","high school","free/reduced","none",35,53,46,"F","F","F"
"male","group D","high school","standard","none",72,66,66,"C","D","D"
"female","group B","associate's degree","free/reduced","none",54,65,65,"F","D","D"
"male","group D","high school","free/reduced","none",74,70,69,"C","C","D"
"male","group E","some high school","standard","completed",74,64,60,"C","D","D"
"male","group E","associate's degree","free/reduced","none",64,56,52,"D","F","F"
"female","group D","high school","free/reduced","completed",65,61,71,"D","D","C"
"male","group E","associate's degree","free/reduced","completed",46,43,44,"F","F","F"
"female","group C","some high school","free/reduced","none",48,56,51,"F","F","F"
"male","group C","some college","free/reduced","completed",67,74,70,"D","C","C"
"male","group D","some college","free/reduced","none",62,57,62,"D","F","D"
"male","group D","associate's degree","free/reduced","completed",61,71,73,"D","C","C"
"male","group C","bachelor's degree","free/reduced","completed",70,75,74,"C","C","C"
"male","group C","associate's degree","standard","completed",98,87,90,"A","B","A"
"male","group D","some college","free/reduced","none",70,63,58,"C","D","F"
"male","group A","associate's degree","standard","none",67,57,53,"D","F","F"
"female","group E","high school","free/reduced","none",57,58,57,"F","F","F"
"male","group D","some college","standard","completed",85,81,85,"B","B","B"
"male","group D","some high school","standard","completed",77,68,69,"C","D","D"
"male","group C","master's degree","free/reduced","completed",72,66,72,"C","D","C"
"female","group D","master's degree","standard","none",78,91,96,"C","A","A"
"male","group C","high school","standard","none",81,66,64,"B","D","D"
"male","group A","some high school","free/reduced","completed",61,62,61,"D","D","D"
"female","group B","high school","standard","none",58,68,61,"F","D","D"
"female","group C","associate's degree","standard","none",54,61,58,"F","D","F"
"male","group B","high school","standard","none",82,82,80,"B","B","B"
"female","group D","some college","free/reduced","none",49,58,60,"F","F","D"
"male","group B","some high school","free/reduced","completed",49,50,52,"F","F","F"
"female","group E","high school","free/reduced","completed",57,75,73,"F","C","C"
"male","group E","high school","standard","none",94,73,71,"A","C","C"
"female","group D","some college","standard","completed",75,77,83,"C","C","B"
"female","group E","some high school","free/reduced","none",74,74,72,"C","C","C"
"male","group C","high school","standard","completed",58,52,54,"F","F","F"
"female","group C","some college","standard","none",62,69,69,"D","D","D"
"male","group E","associate's degree","standard","none",72,57,62,"C","F","D"
"male","group C","some college","standard","none",84,87,81,"B","B","B"
"female","group D","master's degree","standard","none",92,100,100,"A","A","A"
"female","group D","high school","standard","none",45,63,59,"F","D","F"
"male","group C","high school","standard","none",75,81,71,"C","B","C"
"female","group A","some college","standard","none",56,58,64,"F","F","D"
"female","group D","some high school","free/reduced","none",48,54,53,"F","F","F"
"female","group E","associate's degree","standard","none",100,100,100,"A","A","A"
"female","group C","some high school","free/reduced","completed",65,76,75,"D","C","C"
"male","group D","some college","standard","none",72,57,58,"C","F","F"
"female","group D","some college","standard","none",62,70,72,"D","C","C"
"male","group A","some high school","standard","completed",66,68,64,"D","D","D"
"male","group C","some college","standard","none",63,63,60,"D","D","D"
"female","group E","associate's degree","standard","none",68,76,67,"D","C","D"
"female","group B","bachelor's degree","standard","none",75,84,80,"C","B","B"
"female","group D","bachelor's degree","standard","none",89,100,100,"B","A","A"
"male","group C","some high school","standard","completed",78,72,69,"C","C","D"
"female","group A","high school","free/reduced","completed",53,50,60,"F","F","D"
"female","group D","some college","free/reduced","none",49,65,61,"F","D","D"
"female","group A","some college","standard","none",54,63,67,"F","D","D"
"female","group C","some college","standard","completed",64,82,77,"D","B","C"
"male","group B","some college","free/reduced","completed",60,62,60,"D","D","D"
"male","group C","associate's degree","standard","none",62,65,58,"D","D","F"
"male","group D","high school","standard","completed",55,41,48,"F","F","F"
"female","group C","associate's degree","standard","none",91,95,94,"A","A","A"
"female","group B","high school","free/reduced","none",8,24,23,"F","F","F"
"male","group D","some high school","standard","none",81,78,78,"B","C","C"
"male","group B","some high school","standard","completed",79,85,86,"C","B","B"
"female","group A","some college","standard","completed",78,87,91,"C","B","A"
"female","group C","some high school","standard","none",74,75,82,"C","C","B"
"male","group A","high school","standard","none",57,51,54,"F","F","F"
"female","group C","associate's degree","standard","none",40,59,51,"F","F","F"
"male","group E","some high school","standard","completed",81,75,76,"B","C","C"
"female","group A","some high school","free/reduced","none",44,45,45,"F","F","F"
"female","group D","some college","free/reduced","completed",67,86,83,"D","B","B"
"male","group E","high school","free/reduced","completed",86,81,75,"B","B","C"
"female","group B","some high school","standard","completed",65,82,78,"D","B","C"
"female","group D","associate's degree","free/reduced","none",55,76,76,"F","C","C"
"female","group D","bachelor's degree","free/reduced","none",62,72,74,"D","C","C"
"male","group A","high school","standard","none",63,63,62,"D","D","D"
"female","group E","master's degree","standard","completed",88,99,95,"B","A","A"
"male","group C","high school","free/reduced","none",62,55,55,"D","F","F"
"female","group C","high school","free/reduced","completed",59,71,65,"F","C","D"
"female","group D","some college","standard","completed",68,78,77,"D","C","C"
"female","group D","some college","free/reduced","none",77,86,86,"C","B","B"
